Author,Title,Sourcetitle,Volume,Issue,Pagestart,Pageend
"Fine, Michelle ; Freudenberg, Nick ; Payne, Yasser ; Perkins, Tiffany ; Smith, Kersha ; Wanzer, Katya",“Anything Can Happen With Police Around”: Urban Youth Evaluate Strategies of Surveillance in Public Places.,Journal of Social Issues,59,1,141,158
"Amos, Y.T.",“Are You Gonna Take My Job Away?”: Latina Bilingual Education Teachers’ Relationships With White Colleagues in a White Racial Frame,Urban Education,55,4,640,666
"Dumas, M.J.; Ross, K.M.",“Be Real Black for Me”: Imagining BlackCrit in Education,Urban Education,51,4,415,442
"Keegan, C.",“Black Workers Matter”: Black labor geographies and uneven redevelopment in post-Katrina New Orleans,Urban Geography,42,3,340,359
"Haeffner, M.; Jackson-Smith, D.; Buchert, M.; Risley, J.","“Blue” space accessibility and interactions: Socio-economic status, race, and urban waterways in Northern Utah",Landscape and Urban Planning,167,,136,146
"Luo, X.; Stone, J.","“Bringing the migrant back in”: mobility, conflict, and social change in contemporary society",Theory and Society,46,3,249,259
"King, P.N.; Rich, M.A.",“Building Together” in Baltimore? Corporate Megadevelopment and Coalitions for Community Power,Urban Affairs Review,58,4,1028,1064
"Taggart, T.; Sawyer, S.; Andreou, A.; Kershaw, T.; Milburn, N.G.","“But I Live Here Too”: Social-structural stressors, racial discrimination, and resiliency among urban dwelling black emerging adult men",American Journal of Community Psychology,72,2-Jan,48,59
"Portillos, E.L.; Peguero, A.A.; González, J.C.; Immekus, J.C.; Luna, C.V.","“C’mon—You Should Know the Rules, Man”: Latinx Youth’s Perceptions of Procedural Justice and Chronic Punishment",Urban Education,60,10,2764,2799
"Parkhouse, H.; Massaro, V.R.",“Calling Out” in class: Degrees of candor in addressing social injustices in racially homogenous and heterogeneous U.S. history classrooms,Journal of Social Studies Research,43,1,17,31
"Ngui, E.; Blakey, J.M.; Ogungbe, F.; Ortiz, T.; L Williams, G.",“Can I get a pass”—the use of the “N” word and other forms of microaggressions and potential impact on Black student’s well-being,International Journal of Qualitative Studies in Education,37,5,1376,1392
"Jauk-Ajamie, D.; Peralta, R.L.; Michael, C.",“Chickens in the Slaughterhouse” Police-Inflicted Trauma and Mental Health Consequences for an Urban African American LGBTQI+ Community,Social Sciences,13,10,,
"McCann, B.J.","“Chrysler Pulled the Trigger”: The Affective Politics of Insanity and Black Rage at the Trial of James Johnson, Jr.",Rhetoric Society Quarterly,46,2,131,155
"Alvarado, J.; Butler, A.",“Close and desirable for whom?”: parents traversing racialised spaces and places in gentrifying U.S. schools,Educational Studies,51,4,425,441
"Reese, A.M.",“D.C. is mambo sauce”: Black cultural production in a gentrifying city; “DC es salsa de mambo”: la producción de la cultura negra en una ciudad en proceso de gentrificación,Human Geography (United Kingdom),13,3,253,262
"Barajas-López, F.; Ishimaru, A.M.",“Darles el lugar”: A Place for Nondominant Family Knowing in Educational Equity,Urban Education,55,1,38,65
"Evans, J.",“Deeper than Rap”: Cultivating racial identity and critical voices through Hip-hop recording practices in the music classroom,Journal of Media Literacy Education,11,3,20,36
"Mulholland, R.",“Denial of Equality of Opportunity Is Immoral”: The Black Queer Radical Feminism of Ernestine Eckstein,Feminist Formations,36,2,79,102
"Schentag, A.","“Designs for People Who Do Not Readily Intermingle”: Olmsted Jr.’s Use of Race-Restrictive Covenants, ca. 1900–1931",Journal of Planning History,23,2,87,109
"Anderson, B.",“Earth Girl Won't Stand For It!”: Representations of Environmental (In)Justice in Mayah's Lot (2012),Comics Grid: Journal of Comics Scholarship,12,1,,
"Gerlinger, J.",“Exclusionary Discipline and School Crime: Do Suspensions Make Schools Safer?”,Education and Urban Society,54,7,797,822
"Crosby, S.D.; Jones, K.; Day, A.; Somers, C.; Baroni, B.; Feltner Williams, A.",“Expect to Be Taken Out of Class”: Comparing School Experiences of Trauma-Exposed Black Girls and Boys,Educational Forum,87,3,252,263
"Walker, B.L.",“FORE DAY IN THE MORNIN” AND BLACK WOMEN IN ACADEME: EMBRACING OPPORTUNITIES AND CONFRONTING MICROAGGRESSIONS,Diversity in Higher Education,26,,1,26
"Stehlin, J.",“Freeways without futures”1: Urban highway removal in the United States and Spain as socio-ecological fix?,Environment and Planning E: Nature and Space,7,3,1391,1417
"Tapia, Alicia M.","“Give Them a Firm Handshake, Look Them in the Eye, Try to Make a Connection”: Critical Graduate Perspectives on School Advancement Practices of De Marillac Academy",Dissertations & Theses,,,,
"Johnson, W.F.",“Harriet Tubman is a Superhero”: Conceptualizing Young African American Children's Sociopolitical Awareness as Imaginative Praxis,Urban Education,60,11 Special Issue: You Can't Steal My Joy! Practices and Possibilities for Black Joy in Urban Education,2974,3000
"Chiles, M.T.","“Here We Go Again”: Race and Redevelopment in Downtown Richmond, Virginia, 1977-Present",Journal of Urban History,49,1,133,159
"Jenks, Hillary","“Home is Little Tokyo”: Race, community, and memory in twentieth -century Los Angeles",Dissertations & Theses,,,,
"Barnes-Watson, Constance","“I Am My CSister’s Keeper” Community Cultural Wealth and Persistence Among CUNY's Black, Indigenous, Women of Color (BIWOC) in Computer Science",Dissertations & Theses,,,,
"Borck, C.R.",“I Belong Here.”: Culturally Sustaining Pedagogical Praxes from an Alternative High School in Brooklyn,Urban Review,52,2,376,391
"Moffett-Bateau, A.J.",“I Can’t Vote if I Don’t Leave My Apartment”: The Problem of Neighborhood Violence and its Impact on the Political Behavior of Black American Women Living Below the Poverty Line,Urban Affairs Review,60,1,73,117
"Willis, T.Y.; Mattheis, A.; Dotson, B.; Brannon, L.-J.; Hunter, M.; Moore, A.; Ahmed, L.; Williams-Vallarta, L.",“I Find Myself Isolated and Alone”: Black Women’s Experiences of Microaggressions at an Hispanic-Serving Institution,Journal of Women and Gender in Higher Education,12,2,186,204
"Meyerhoffer, C.A.","“I Have More in Common with Americans Than I Do with Illegal Aliens”: Culture, Perceived Threat, and Neighborhood Preferences",Sociology of Race and Ethnicity,1,3,378,393
"Gilzene, Alounso A.",“I Just Need the Players”: How Urban School Leaders Navigate Resource Constraint through External Partnerships,Dissertations & Theses,,,,
"Holt, S.L.; del Río-González, A.M.; Massie, J.S.; Bowleg, L.","“I Live in This Neighborhood Too, Though”: the Psychosocial Effects of Gentrification on Low-Income Black Men Living in Washington, D.C.",Journal of Racial and Ethnic Health Disparities,8,5,1139,1152
"Jacoby, J.W.; Edlefsen, K.",“I Love Paw Patrol!”: Book Selection and the Allure of Popular Media Characters Among Preschoolers,Journal of Research in Childhood Education,34,2,208,222
"Armstrong-Carter, E.; Osborn, S.; Smith, O.; Siskowski, C.; Olson, E.",“I Missed School to Take Care of Someone Else”: Middle and High School Students' Caregiving Responsibilities as a Reason for Absenteeism,Journal of School Health,94,8,708,716
"Daly, A.; Vlach, S.K.; Tily, S.; Murdter-Atkinson, J.; Maloch, B.",“I Never Explicitly Brought That Up to My Mentor”: Early Career Teachers of Color Navigating Whiteness With White Mentors in a University-Based Induction Program,Urban Education,60,7,1942,1973
"Ruez, D.",“I never felt targeted as an Asian … until I went to a gay pub”: Sexual racism and the aesthetic geographies of the bad encounter,Environment and Planning A,49,4,893,910
"Kokka, K.","“I really got to think about my background, their background, and how do we come together on something?”: One emergent mathematics teacher leader's reflexive journey with Social Justice Mathematics",School Science and Mathematics,125,5,446,461
"Raudenbush, D.","“I Stay by Myself”: Social Support, Distrust, and Selective Solidarity Among the Urban Poor",Sociological Forum,31,4,1018,1039
"Pizarro, M.; Kohli, R.",“I Stopped Sleeping”: Teachers of Color and the Impact of Racial Battle Fatigue,Urban Education,55,7,967,991
"Evans, S.A.","“I Wanted Diversity, But Not So Much”: Middle-Class White Parents, School Choice, and the Persistence of Anti-Black Stereotypes",Urban Education,59,3,911,940
"Suh, M.; Callaghan, L.T.; Brickhouse, E.; Ponce, H.; Tichter, A.M.; Pillow, M.T.; Chary, A.",“I’d rather see action”: Application and recruitment experiences of underrepresented in emergency medicine trainees,AEM Education and Training,7,3,,
"Wade-Jaimes, K.; King, N.",“I’ll Do Some Soul Searching”: Navigating a Black Student–Teacher Relationship Within the Sociopolitical Terrain of Urban Science Education,Urban Education,60,10,2800,2837
"Anderson, L.",“I’m Known”: Building Relationships and Helping Students Construct Counternarratives on the West Side of Chicago,Annals of the American Academy of Political and Social Science,673,1,98,115
"Joseph, M.P.","“I’m Not a Juvenile Delinquent”: Mixed-Race Doo-Wop, Gang Culture, and the War against Rock ’n’ Roll, 1954-1958",Journal of Urban History,,,,
"Vakil, S.",“I’ve Always Been Scared That Someday I’m Going to Sell Out”: Exploring the relationship between Political Identity and Learning in Computer Science Education,Cognition and Instruction,38,2,87,115
"Krishnamurthy, N.; David, D.; Odom, J.N.; Mathelier, K.; Lin, J.J.; Smith, C.; Peralta, M.; Moorehead, D.; Mazor, M.","“If we don't speak the language, we aren't offered the same opportunities”: Qualitative perspectives of palliative care access for women of color living with advanced breast cancer",SSM - Qualitative Research in Health,5,,,
"Allen, Q.",“In a Way It Certainly Tells Us that We Don’t Belong Here”: Black First-Generation College Students Visualizing Their Sense of Belonging at a Historically White Institution,Urban Education,60,10,2695,2727
"Opara, I.; Lardier, D.T.; Reid, R.J.; Garcia-Reid, P.",“It All Starts With the Parents”: A Qualitative Study on Protective Factors for Drug-Use Prevention Among Black and Hispanic Girls,Affilia - Feminist Inquiry in Social Work,34,2,199,218
"DeRemer, C.",“It Doesn’t Matter Who Sees Them”: A Case Study of an Effective White Educator Working in a Multicultural Urban High School,Education and Urban Society,54,5,585,604
"Luebke, J.; Thomas, N.; Nkhoma, Y.B.; Fernandez, A.R.; Moore, K.M.; Lopez, A.A.; Mkandawire-Valhmu, L.","“It is like a curse”. The lived experiences of the intersection of intergenerational violence, pregnancy, and intimate partner violence among urban Wisconsin Indigenous women",Archives of Psychiatric Nursing,51,,274,281
"Negrín da Silva, D.",“It is loved and it is defended”: Critical Solidarity Across Race and Place,Antipode,50,4,1016,1036
"Syeed, E.",“It Just Doesn’t Add Up”: Disrupting Official Arguments for Urban School Closures with Counterframes; “simplesmente não vale a pena”: Interromper argumentos oficiais para o fechamento de escolas urbanas com counterframes; “simplemente no cuadra”: Interrumpir los argumentos oficiales para el cierre de escuelas urbanas con counterframes,Education Policy Analysis Archives,27,,,
"Jones, N.",“It tastes like heaven”: Critical and embodied food pedagogy with Black youth in the Anthropocene,Policy Futures in Education,17,7,905,923
"Fahlberg, A.N.",“It was totally different than what we had before”: Perceptions of urban militarism under Rio de Janeiro’s Pacifying Policing Units,Qualitative Sociology,41,2,303,324
"Sanders, M.G.",“It’s a great partnership!” A Mixed-Methods Case Study of an African American Teacher in an Urban Full-Service Community School,Journal of Negro Education,92,2,168,183
"Nguyen, A.; Tian, Z.",“It’s Always Been on My Mind”: Asian American Bilingual Teachers’ Approaches in Centering Asian American Studies in Urban Dual Language Programs,Educational Studies - AESA,61,2,166,192
"Bertrand, M.; Salinas, S.M.; Demps, D.; Rentería, R.; Durand, E.S.",“It’s Everybody’s Job”: Youth and Adult Constructions of Responsibility to Take Action for School Change through PAR,Urban Review,52,2,392,414
"James-Gallaway, C.D.; James-Gallaway, A.D.; Griffin, A.A.",“It’s in [Their] Roots”: A Critical Race Discourse Analysis of Media Accounts Depicting Black Hair Discrimination in K-12 School,Urban Review,56,1,35,58
"Darby, Christopher Ellis Matthew","“It’s Not Me, It’s You:” A Critical Race Exploration of University-Community Partnerships (UCPs) With Black Community Leadership",Dissertations & Theses,,,,
"Coles, J.A.",“It’s really geniuses that live in the hood”: Black urban youth curricular un/makings and centering Blackness in slavery’s afterlife,Curriculum Inquiry,51,1,35,56
